TestMethod,Column,TrendMethod,Trend,Lags,NullHypothesis,PValue,TestStatistic
Adf,Temperature,c,Include a constant,20,The process contains a unit root.,0.9540536829584838,-0.051570782800788306
Adf,Temperature,c,Include a constant,21,The process contains a unit root.,0.9587028063291533,0.0020683871051572103
Adf,Temperature,c,Include a constant,22,The process contains a unit root.,0.9658614144005804,0.09708362131156631
Adf,Temperature,c,Include a constant,23,The process contains a unit root.,0.9547979370303107,-0.0433377859177279
Adf,Temperature,c,Include a constant,24,The process contains a unit root.,0.9161423621639383,-0.3627024321949145
Adf,Temperature,nc,No trend components,0,The process contains a unit root.,0.6586041429755669,-0.07549441205610065
Adf,Temperature,nc,No trend components,1,The process contains a unit root.,0.811638343021611,0.44373129586918225
Adf,Temperature,nc,No trend components,2,The process contains a unit root.,0.8868408168250546,0.8108263998494623
Adf,Temperature,nc,No trend components,3,The process contains a unit root.,0.8648845237075143,0.689714869864868
Adf,Temperature,nc,No trend components,4,The process contains a unit root.,0.9210828960672717,1.0380014470922119
Adf,Temperature,nc,No trend components,5,The process contains a unit root.,0.9546294883063251,1.3445894649728505
Adf,Temperature,nc,No trend components,6,The process contains a unit root.,0.9591542988617217,1.3977562910147965
Adf,Temperature,nc,No trend components,7,The process contains a unit root.,0.9590418150630173,1.3963832585605234
Adf,Temperature,nc,No trend components,8,The process contains a unit root.,0.9745822670044273,1.6206638589709275
Adf,Temperature,nc,No trend components,9,The process contains a unit root.,0.9718848110818096,1.5754720556024158
Adf,Temperature,nc,No trend components,10,The process contains a unit root.,0.9627846281427069,1.4436515898096183
Adf,Temperature,nc,No trend components,11,The process contains a unit root.,0.9749198205341824,1.6265701235452785
Adf,Temperature,nc,No trend components,12,The process contains a unit root.,0.9697408928362153,1.5418252307333515
Adf,Temperature,nc,No trend components,13,The process contains a unit root.,0.9714062096194698,1.567798140871242
Adf,Temperature,nc,No trend components,14,The process contains a unit root.,0.972857297357225,1.5913724440725308
Adf,Temperature,nc,No trend components,15,The process contains a unit root.,0.9912912079176518,2.040056938120317
